X_mean,X_std,X_max,X_min,X_sum_sq,Y_mean,Y_std,Y_max,Y_min,Y_sum_sq,Z_mean,Z_std,Z_max,Z_min,Z_sum_sq,is_accelerometer,is_gyroscope,label,motion
1.0687143,0.3265861,1.608875,0.337147,374.6426,-0.44794497,0.18664788,-0.117607996,-0.920856,70.64764,0.0493002,0.16070625,0.561749,-0.376187,8.477103,1.0,0.0,0,SAFE — Medium Walking Hand
0.92916095,0.25428477,1.443931,0.495259,278.40024,-0.43545052,0.14328738,-0.199592,-0.87205607,63.044533,0.043608494,0.14507072,0.39338902,-0.259067,6.8841634,1.0,0.0,0,SAFE — Medium Walking Hand
0.9756039,0.25467226,1.390251,0.49281898,304.9983,-0.4935323,0.15416187,-0.168848,-0.882792,80.202,0.05163284,0.18029317,0.49245298,-0.288835,10.551473,1.0,0.0,0,SAFE — Medium Walking Hand
0.97909147,0.22619106,1.3756111,0.454755,302.93475,-0.4674601,0.14257497,-0.14152001,-0.776408,71.65396,0.055447374,0.20200653,0.63836503,-0.254187,13.164315,1.0,0.0,0,SAFE — Medium Walking Hand
0.96265566,0.24847859,1.523475,0.450363,296.53424,-0.52022266,0.16591123,-0.22204,-1.05652,89.44744,0.0889193,0.11453345,0.431941,-0.166835,6.3073654,1.0,0.0,0,SAFE — Medium Walking Hand
0.41361335,0.4541956,1.3199791,-0.063501,113.21089,0.34639215,0.42146102,0.742248,-0.55388,89.28508,0.5172385,0.3337555,0.88334095,-0.182451,113.67852,1.0,0.0,0,SAFE — Medium Walking Hand
0.1808476,0.5911153,2.4316103,-6.088624,114.63694,-0.08195424,0.56489897,2.4142802,-6.334472,97.7482,0.055562355,0.88077605,3.295315,-4.5735345,233.65608,1.0,0.0,1,DANGER — Mediumheight Free Fall
0.06983368,0.7290835,4.7971582,-5.0649257,160.93185,-0.30098292,0.64713466,1.9196159,-7.691419,152.81221,0.45774052,0.68453217,4.4156823,-3.9653754,203.43321,1.0,0.0,1,DANGER — Mediumheight Free Fall
0.0067130486,0.38331863,5.0009894,-1.7184309,44.093475,0.5459948,0.6466316,1.811735,-6.447462,214.87283,0.09331479,0.6970967,4.433318,-2.407443,148.39545,1.0,0.0,1,DANGER — Mediumheight Free Fall
0.29161686,0.33843374,2.1146824,-0.49568915,59.87334,-0.33539313,0.5587434,0.664753,-3.3951504,127.404816,0.30806163,0.7033677,2.7440565,-1.0519341,176.88843,1.0,0.0,1,DANGER — Mediumheight Free Fall
0.2916134,0.49638823,1.2864791,-4.032876,99.43189,-0.30102843,0.5001118,1.2626177,-2.947903,102.218994,-0.25618228,0.7692811,1.0420531,-5.5579686,197.22684,1.0,0.0,1,DANGER — Mediumheight Free Fall
0.16705339,0.37230575,2.878659,-3.223838,49.955524,-0.43759176,0.56227523,0.84146476,-4.1540184,152.29199,0.08024188,0.7607461,3.8397365,-3.967517,175.55203,1.0,0.0,1,DANGER — Mediumheight Free Fall
0.7678769,0.9349214,3.457907,-2.080893,439.1139,0.48237985,0.46935833,1.7675359,-0.874496,135.89627,0.07191738,0.33810693,0.75938904,-0.82612306,35.846523,1.0,0.0,1,DANGER — Moderate Vigorous Shaking
